Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
SimpleCampDialogue/CampDial_SwapChar_Pheonix_Dialogues_1,Text,,[B]그래! 나는 위대한 불사조 페니ックス야! 어떤 피해를 입어도 재에서 다시 일어날 거야!,"[B]Indeed! I am the grand immortal Phoenix! I will always rise from my ashes, no matter the damage!",[B]その通り！私は偉大なる不死鳥フェニックス！どんなダメージを受けても、灰からよみがえる！,[B]没错！我是伟大不朽的凤凰！无论受到多少伤害，我都能从灰烬中重生！,[B]沒錯！我是偉大不朽的鳳凰！無論受到多少傷害，我都能從灰燼中重生！
SimpleCampDialogue/CampDial_SwapChar_Pheonix_Dialogues_2,Text,,[A]내가 너를 방패처럼 휘두르면 어떻게 될까?,[A]What if I moved you around like a shield?,[A]もし私があなたを盾のように動かしたらどうなる？,[A]如果我把你当盾牌一样挥来挥去会怎样？,[A]如果我把你當盾牌一樣揮來揮去會怎樣？
SimpleCampDialogue/CampDial_SwapChar_Pheonix_Dialogues_3,Text,,[B]…,[B]…,[B]…,[B]...,[B]...
SimpleCampDialogue/CampDial_SwapChar_Pheonix_Dialogues_4,Text,,[B]그래도 아프긴 해.,[B]I still do feel pain.,[B]それでも痛みは感じるよ。,[B]我还是会痛的。,[B]我還是會痛的。
SimpleCampDialogue/CampDial_SwapChar_Lian_Dialogues_0,Text,,[B]내가 적을 패링하려고 할 때 날 리포지셔닝하지 마.,[B]Quit repositioning me when I'm about to parry the enemy.,[B]敵をパリィしようとしているときに私をリポジションしないでくれ。,[B]不要在我打算格挡的时候把我换位。,[B]不要在我打算格擋的時候把我換位。
SimpleCampDialogue/CampDial_SwapChar_Lian_Dialogues_1,Text,,[A]내가 처리하려는 적을 패링하려고 하지 마.,[A]Well don't get ready to parry an enemy I'm about to handle.,[A]私が対処しようとしている敵をパリィしようとしないでくれ。,[A]不要想去格挡我正在对付的敌人。,[A]不要想去格擋我正在對付的敵人。
SimpleCampDialogue/CampDial_SwapChar_Lian_Dialogues_2,Text,,[B]자신의 한계를 과대평가하지 말고,"[B]Don't overestimate your limits, you need to rely on others.",[B]自分の限界を過大評価しないで、他人に頼る必要がある。,[B]别太高估自己的能力，你也要学会依赖别人。,[B]別太高估自己的能力，你也要學會依賴別人。
SimpleCampDialogue/CampDial_SwapChar_Lian_Dialogues_3,Text,,[A]나는 의존받는 쪽이야.,[A]I'm the one that's relied on.,[A]私は頼られる側だ。,[A]我才应该是被依靠的一方。,[A]我才應該是被依靠的一方。
SimpleCampDialogue/CampDial_SwapChar_Red_Dialogues_0,Text,,[B]야! 울보를 보호하는 건 내 일이야,"[B]Hey! Protecting the crybaby is my job, newbie.",[B]おい！うちの泣き虫を守るのは私の仕事だ、新人。,[B]嘿！保护我家的爱哭鬼是我的职责，新人。,[B]嘿！保護我家的愛哭鬼是我的職責，新人。
SimpleCampDialogue/CampDial_SwapChar_Red_Dialogues_1,Text,,[A]적을 태우는 데 집중하면 더 효율적일 거야. 보호는 나에게 맡겨.,[A]You'd be more efficient if you just focused on burning our enemies. Let the protecting to me.,[A]敵を燃やすことに集中すれば、もっと効率的になるよ。守りは私に任せてくれ。,[A]如果你能专注于灼烧敌人效率会更高。我更擅长保护。,[A]如果你能專注於灼燒敵人效率會更高。我更擅長保護。
SimpleCampDialogue/CampDial_SwapChar_Red_Dialogues_2,Text,,[B]안 돼! 내가 너보다 그녀를 더 잘 보호할 수 있어!,[B]No way! I protect her better than you ever could!,[B]まさか！私はあなたよりも彼女を守れる！,[B]不行！我比你能更好保护她！,[B]不行！我比你能更好保護她！
SimpleCampDialogue/CampDial_SwapChar_Red_Dialogues_3,Text,,[B]헬리아,[B]Helia you're burning me…,[B]ヘリア、あなたが私を燃やしている…,[B]海拉你烧到我了...,[B]海拉你燒到我了...
SimpleCampDialogue/CampDial_SwapChar_Blue_Dialogues_0,Text,,[A]달빛은 야간 전투에서 큰 이점이야.,[A]Moonlight is a great advantage to have during night combat.,[A]月光は夜間戦闘で大きな利点だ。,[A]月光在夜晚作战时是很好的光源。,[A]月光在夜晚作戰時是很好的光源。
SimpleCampDialogue/CampDial_SwapChar_Blue_Dialogues_1,Text,,[B]난 싸울 수 없어,"[B]I can't fight, Helia is much better at that.",[B]私は戦えない、ヘリアの方がずっと得意だ。,[B]我不擅长这些，海拉比我更擅于创造光源。,[B]我不擅長這些，海拉比我更擅於創造光源。
SimpleCampDialogue/CampDial_SwapChar_Blue_Dialogues_2,Text,,[A]전술적인 빛의 중요성을 과소평가하지 마.,[A]Never underestimate the importance of tactical light.,[A]戦術的な光の重要性を過小評価しないでくれ。,[A]不要低估战术光源的作用。,[A]不要低估戰術光源的作用。
SimpleCampDialogue/CampDial_SwapChar_Blue_Dialogues_3,Text,,[B]그래도 태양이 더 밝아…,[B]The sun is still brighter…,[B]それでも太陽の方が明るい…,[B]但还是太阳更明亮...,[B]但還是太陽更明亮...
SimpleCampDialogue/CampDial_SwapChar_Hein_Dialogues_0,Text,,[A]너무 무모해,"[A]You're reckless, you're gonna die if you keep doing what you're doing.",[A]あなたは無謀だ、このままでは死ぬよ。,[A]你太鲁莽了，再这样下去你可能会死。,[A]你太魯莽了，再這樣下去你可能會死。
SimpleCampDialogue/CampDial_SwapChar_Hein_Dialogues_1,Text,,[B]누구한테 죽는다고? 나를 죽이려는 자를 먼저 죽이면 돼.,[B]Dying from what? I just kill my would-be killer first.,[B]誰に殺されるの？私はただ私を殺そうとする奴を先に殺すだけだ。,[B]被谁杀死？我只要杀光可能杀死我的人就行了。,[B]被誰殺死？我只要殺光可能殺死我的人就行了。
SimpleCampDialogue/CampDial_SwapChar_Iron_Dialogues_0,Text,,[B]너 용병이야? 내 부대에 딱 맞을 거야.,[B]You're a mercenary? You'd fit right into my squadron.,[B]あなたは傭兵？私の部隊にぴったりだ。,[B]你是一个佣兵？我的队伍需要你这样的人。,[B]你是個傭兵？我的隊伍需要你這樣的人。
SimpleCampDialogue/CampDial_SwapChar_Iron_Dialogues_1,Text,,[A]아마도,"[A]Probably, remind me once we're done with the clock tower.",[A]そうかもね、時計塔を終えたらまた教えてくれ。,[A]听起来不错，在我们搞定钟楼之后再提醒我一次。,[A]聽起來不錯，在我們搞定鐘樓之後再提醒我一次。
SimpleCampDialogue/CampDial_SwapChar_Miss_Dialogues_0,Text,,[A]너무 무모하고,"[A]You're reckless, an arsonist and you charge everywhere.",[A]あなたは無謀で、火をあちこちに放っています。,[A]你很鲁莽，你把火放得到处都是。,[A]你很魯莽，你把火放得到處都是。
SimpleCampDialogue/CampDial_SwapChar_Miss_Dialogues_1,Text,,[B]고마워! 하지만 난 그냥 나 자신일 뿐이야...,[B]Thank you! But I'm just being myself...,[B]ありがとう！でも私はただ自分らしくしているだけ…,[B]多谢提醒！但这就是我...,[B]多謝提醒！但這就是我...
SimpleCampDialogue/CampDial_SwapChar_Charon_Dialogues_0,Text,,[B]그 홀로그램에 영혼을 주입할 수 있을까?,[B]Can I infuse a soul into that hologram?,[B]そのホログラムに魂を注入できる？,[B]我可以把灵魂融进那个全息影像里吗？,[B]我可以把靈魂融進那個全像影像裡嗎？
SimpleCampDialogue/CampDial_SwapChar_Charon_Dialogues_1,Text,,[A]안 돼.,[A]No.,[A]ダメ。,[A]不行。,[A]不行。
SimpleCampDialogue/CampDial_SwapChar_Charon_Dialogues_2,Text,,[B]해볼 수는 없을까?,[B]Can I try?,[B]試させてくれない？,[B]让我试试嘛？,[B]讓我試試嘛？
SimpleCampDialogue/CampDial_SwapChar_Charon_Dialogues_3,Text,,[A]안 돼.,[A]No.,[A]ダメ。,[A]不行。,[A]不行。
SimpleCampDialogue/CampDial_SwapChar_Momori_Dialogues_0,Text,,[B]우와~ 너 같은 남자다운 복근이 없어서 다행이야!,[B]Uwa~ I'm so glad I don't have manly abs like that!,[B]うわ～、私にはそんな男らしい腹筋がないのが嬉しい！,[B]哇～很庆幸我没有像你那样的腹肌！,[B]哇～很慶幸我沒有像你那樣的腹肌！
SimpleCampDialogue/CampDial_SwapChar_Momori_Dialogues_1,Text,,[A]그 복근이 널 부셔버릴 거야.,[A]Those abs would crush you.,[A]その腹筋はあなたを粉砕するだろう。,[A]这些腹肌意味着我能轻松击败你。,[A]這些腹肌意味著我能輕鬆擊敗你。
SimpleCampDialogue/CampDial_SwapChar_Momori_Dialogues_2,Text,,[B]무서워~!,[B]Scary~!,[B]怖い～！,[B]好吓人哦～,[B]好嚇人哦～
